title,category,address,website,phone,review_count,review_rating,emails
123 Design,Industrial design company,"1990 Main St Suite #750, Sarasota, FL 34236, United States",https://www.123.design/,+1 941-265-2173,12,5,
DesignX Company,Summer camp,,http://www.designx.company/,+1 650-459-0004,12,5,info@designx.company
KTJ Design Co,Interior designer,"404 N Harrison St, Stockton, CA 95203, United States",http://www.ktjdesignco.com/,+1 209-932-9801,12,5,
Sloan Co Design | Interior Designer in Orange County,Interior designer,"422 W Almond Ave, Orange, CA 92866, United States",https://sloancodesign.com/,+1 949-228-9756,12,5,
Sloan Co Design | Interior Designer in Orange County,Interior designer,"422 W Almond Ave, Orange, CA 92866, United States",https://sloancodesign.com/,+1 949-228-9756,12,5,
Projects A to Z Restaurant Design,Interior designer,"1255 Treat Blvd, Walnut Creek, CA 94597, United States",,+1 888-788-1034,12,4.7,
Dust Cloud Design,Graphic designer,,http://www.dustclouddesign.com/,+1 707-975-2244,11,5,dustcloudjoe@gmail.com
Eco Method Interiors,Interior designer,,http://www.ecomethodinteriors.com/,,11,5,
Lisa Merkle Design,Interior designer,"215 N La Peer Dr, Beverly Hills, CA 90211, United States",https://lisamerkledesign.com/,+1 323-745-2205,11,5,%20lisa@lisamerkledesign.com
Ammie Kim Interior Design,Interior designer,"300 Spectrum Center Dr #400, Irvine, CA 92618, United States",http://www.ammiekim.com/,+1 949-359-5200,11,5,
Kathleen Ann Design,Interior designer,"1465 Spruce St, Riverside, CA 92507, United States",http://kathleenanndesign.com/,+1 951-545-1418,11,5,kathleenanndesign@gmail.com
Jahanna Nichols Design,Interior designer,"500 W Foothill Blvd, Claremont, CA 91711, United States",https://jahannanicholsdesign.com/,+1 909-262-0668,11,5,
Kelly Archer Interiors,Interior designer,"3510 Allen Rd #103, Bakersfield, CA 93314, United States",http://www.kellyarcherinteriors.com/,+1 661-809-2687,11,5,kelly@kellyarcherinteriors.com
Storybook Styling - Home Staging & Design,Interior designer,,http://www.storybookstyling.com/,+1 818-458-7099,11,4.9,
Industrial Design LA,Industrial design company,,https://industrialdesignla.com/,+1 310-800-8711,10,4.6,info@3dm.llc
AR Interiors,Interior designer,"149 S Barrington Ave #142, Los Angeles, CA 90049, United States",https://www.annarosemann.com/,+1 310-795-3138,10,5,anna@annarosemann.com
Navilize interior design firm,Interior designer,"9820 Willow Creek Rd # 220, San Diego, CA 92131, United States",https://navilize.com/navilize,+1 858-352-6081,10,5,Studio@navilize.com
Vidal Design Collaborative,Interior designer,"2387 W Silver Lake Dr, Los Angeles, CA 90039, United States",https://www.vidaldesigncollaborative.com/,+1 310-614-9444,10,4.5,hello@vidaldesigncollaborative.com
Interior Wanderer Design Studio,Interior designer,,https://iw.studio/,+1 628-257-4518,10,5,
Christina Telles,Interior designer,"8211 N Fresno St, Fresno, CA 93720, United States",https://christinatelles.com/,,10,5,
Style My Space Home Staging and Design,Interior designer,,http://www.stylemyspace.com/,+1 818-726-6429,10,5,
KrimsonHAUS,Interior designer,"4712 2nd St Suite 336, Long Beach, CA 90803, United States",http://www.krimsonhaus.com/,+1 562-374-9396,10,5,thestudio@krimsonhaus.com
T2 Design & Prototype,Industrial design company,"1238 7th St, Santa Monica, CA 90401, United States",https://t2design.com/,+1 310-656-9922,9,5,info@t2design.com
T2 Design & Prototype,Industrial design company,"1238 7th St, Santa Monica, CA 90401, United States",https://t2design.com/,+1 310-656-9922,9,5,info@t2design.com
Ludlow Kingsley,Branding agency,"2522 Sunset Blvd, Los Angeles, CA 90026, United States",http://www.ludlowkingsley.com/,+1 213-484-0808,9,5,chris@ludlowkingsley.com
Vision Interiors - Huntington Beach Interior Designers,Interior designer,"16651 Gothard St Suite D, Huntington Beach, CA 92647, United States",http://www.visioninteriorsgroup.com/,+1 714-200-8280,9,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
Pacific Interior Design Group,Interior designer,,http://www.pacintdesign.com/,+1 805-641-0808,9,4.9,"info@pacintdesign.com, badge_60_8@2x.png, badge_57_8@2x.png, badge_54_8@2x.png, badge_49_7@2x.png, badge_47_7@2x.png, badge_44_7@2x.png, badge_41_7@2x.png, badge_20_9@2x.png"
Joy Street Design,Interior designer,"4308 Telegraph Ave, Oakland, CA 94609, United States",http://www.joystreetdesign.com/,+1 510-817-4003,9,4.1,
Design for Living by Alison Haltom,Interior designer,,http://designforlivingbyah.com/,+1 916-542-7829,9,5,alison@designforlivingbyah.com
"Home Dot Designs, LLC.",Interior designer,"905 Knox Rd #4047, Madera, CA 93638, United States",http://www.homedotdesigns.com/,+1 559-365-6647,9,5,
Sarah & Friends Interiors,Interior designer,"437 Kipling St #100, Palo Alto, CA 94301, United States",https://www.sarahandfriends.com/,+1 650-720-2692,9,5,
"Pulse Design Group, Industrial Design",Industrial design company,"1750 14th St c, Santa Monica, CA 90404, United States",http://www.pulse-global.com/,+1 866-547-3700,8,5,
AE Design Co.,Marketing agency,"1935 Ave. del Oro ste d, Oceanside, CA 92056, United States",http://www.aedesignco.com/,+1 760-819-7073,8,5,
Aquilo Interiors,Interior designer,,http://www.aquilointeriors.com/,+1 415-273-8482,8,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
BraytonHughes Design Studios,Interior designer,"465 California St #350, San Francisco, CA 94104, United States",http://www.bhdstudios.com/,+1 415-291-8100,8,4.5,info@bhdstudios.com
RKS Design | Product Design and Development Firm,Industrial design company,"350 Conejo Ridge Ave, Thousand Oaks, CA 91361, United States",https://rksdesign.com/,+1 805-370-1200,7,4.4,
Studio Red,Industrial design company,"4019 Transport St, Palo Alto, CA 94303, United States",http://studiored.com/,+1 650-326-0528,7,4.9,Red@StudioRed.com
Bould Design,Industrial design company,"1135 N Amphlett Blvd, San Mateo, CA 94401, United States",http://www.bould.com/,+1 650-965-4509,7,4.4,
Enmasse Design,Engineering consultant,"2444 Old Middlefield Way, Mountain View, CA 94043, United States",http://www.enmassedesign.com/,+1 650-303-1782,7,4.9,info@enmassedesign.com
"Olive + Spark Design Studio, Inc. | Design Matters.",Graphic designer,"959 E Colorado Blvd Suite #244, Pasadena, CA 91106, United States",http://www.olivespark.com/,+1 626-486-2144,7,5,hello@olivespark.com
Adria Pauli,Architectural designer,"923 E 3rd St, Los Angeles, CA 90013, United States",http://adriapauli.com/,+1 213-925-9466,7,4.9,adria@adriapauli.com
Satin and Slate Interior Design Company,Interior designer,"1868 Pacific Ave, Long Beach, CA 90806, United States",https://www.satinandslateinteriors.com/,+1 562-444-8745,7,4.9,
"Caroline Burke Designs & Associates, Inc",Interior designer,"1020 Manhattan Beach Blvd Suite 210, Manhattan Beach, CA 90266, United States",https://carolineburkedesigns.com/?y_source=1_MTYwMDQ5NzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 310-546-6862,7,5,info@carolineburkedesigns.com
BEVERLY HILLS INTERIORS - a legal d.b.a. entity,Interior designer,"205 S Beverly Dr, Beverly Hills, CA 90212, United States",http://www.beverlyhillsinteriors.net/,+1 310-289-7826,7,4.4,
Stuart Design Co,Interior designer,,http://stuartdesignco.com/,+1 801-450-2218,7,5,stephanie@stuartdesignco.com
SEA INTERIOR DESIGN,Interior designer,,https://seainteriordesign.com/,+1 480-265-6862,7,5,
Noelle Interiors,Interior designer,"815 Manhattan Ave # C, Manhattan Beach, CA 90266, United States",https://shopnoelleinteriors.com/,+1 310-937-7777,7,4.4,"Noelle-Interiors-SHOP-CUSTOM-150_265x@2x.png, Noelle-Interiors-SHOP-CUSTOM-150_260x@2x.png, info@noelleinteriors.com, mllegeorgesand@gmail.com"
Tarlow Design LLC,Industrial design company,"218 C St, San Rafael, CA 94901, United States",http://www.tarlowdesign.com/,+1 415-726-1354,6,5,ken@tarlowdesign.com
Southern California Design Company,Design agency,"2195 Faraday Ave Suite I, Carlsbad, CA 92008, United States",http://scdesignco.com/,+1 858-757-7553,6,4.7,"info@scdesignco.com, europe@scdesignco.com, asia@scdesignco.com"
Donna Livingston Design,Interior designer,"8811 Alden Dr, Los Angeles, CA 90048, United States",https://www.donnalivingstondesign.com/?utm_source=omg-gbp&utm_medium=webclick,+1 310-273-1855,6,5,
Donna Livingston Design,Interior designer,"8811 Alden Dr, Los Angeles, CA 90048, United States",https://www.donnalivingstondesign.com/?utm_source=omg-gbp&utm_medium=webclick,+1 310-273-1855,6,5,
House and Harmony Interior Design Studio,Interior designer,"7968 Arjons Dr #200, San Diego, CA 92126, United States",https://www.houseandharmony.com/?utm_source=gmb&utm_medium=organic&utm_campaign=2086349318460566361,+1 858-432-6800,6,5,info@houseandharmony.com
Landed Interiors & Homes,Interior designer,"2701 Eighth St #201, Berkeley, CA 94710, United States",http://landedinteriors.com/,+1 510-866-2399,6,5,studio@landedinteriors.com
Draft One Studios,Interior designer,,,+1 559-656-0340,6,5,
San Diego Office Design,Interior designer,"5005 Texas St suite 304, San Diego, CA 92108, United States",http://www.sdofficedesign.com/,+1 619-610-9358,6,5,
Mighty Studios,Industrial design company,"1272 E Julian St, San Jose, CA 95116, United States",http://www.mighty-studios.com/,+1 408-256-2598,5,5,INFO@MIGHTY-STUDIOS.COM
MOCU DESIGN,Industrial design company,"3124 Rosecrans Ave Suit E, Hawthorne, CA 90250, United States",http://www.mocudesign.com/,,5,5,info@mocudesign.com
Huge Design LLC,Industrial design company,"1082 Howard St, San Francisco, CA 94103, United States",https://www.huge-design.com/,+1 415-875-9026,5,3.8,
Punchcut - Digital Product Design & UI UX Design Innovation Agency,Design agency,,https://punchcut.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+1 415-445-8855,5,3.4,
Knack Design + Production,Design agency,"1519 Mission St #100, San Francisco, CA 94103, United States",http://www.knackdesign.com/,+1 415-252-0930,5,4.2,"info@knackdesign.com, accounting@knackdesign.com, shipping@knackdesign.com, careers@knackdesign.com"
Studio Sean Design,Interior designer,"5229 Willowcrest Ave #302, North Hollywood, CA 91601, United States",http://www.sean-design.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5804676141903709877,+1 323-420-3990,5,5,Sean@sean-design.com
Courtney Thomas Design – Full Service Interior Design Studio,Interior designer,"849 Foothill Blvd Suite #10, La Cañada Flintridge, CA 91011, United States",http://www.courtneythomasdesign.com/,+1 818-925-5283,5,5,
EP Design Studio,Interior designer,,http://www.ep-designstudio.com/,+1 559-201-8678,5,5,
Marin Design Co.,Interior designer,"3519 Fair Oaks Blvd, Sacramento, CA 95864, United States",http://www.marindesignco.com/,,5,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
Fletcher Rhodes Interior Design,Interior designer,"783 Broadway, Sonoma, CA 95476, United States",http://www.fletcherrhodes.com/,+1 707-721-1682,5,5,hello@fletcherrhodes.com
Kathleen Burke Design,Interior designer,"3449A Mount Diablo Blvd, Lafayette, CA 94549, United States",http://www.kathleenburke.com/,+1 925-284-2363,5,5,kathy@kathleenburke.com
Coddington Design,Interior designer,"4096 Piedmont Ave, Oakland, CA 94611, United States",http://www.coddingtondesign.com/,+1 415-285-2821,5,5,
MAC Design,Interior designer,"48860 Milmont Dr #101c, Fremont, CA 94539, United States",http://www.macdesign.us/,+1 510-400-4133,5,4.6,info@macdesignstudio.com
GID Company - Product Development Company California,Research and product development,"3720 Prospect Ave, Yorba Linda, CA 92886, United States",https://www.gidcompany.com/?utm_source=GMBListing&utm_medium=Organic&utm_campaign=GMBListing,+1 714-323-1052,4,5,info@gidcompany.com
"DesignStein Studios, LLC",Industrial design company,"3420 Bristol St Floor 6, Costa Mesa, CA 92626, United States",https://www.designsteinstudios.com/,+1 714-375-4846,4,5,info@DesignSteinStudios.com
Unbox Product Design,Industrial design company,"218 9th St, San Francisco, CA 94103, United States",https://www.unboxpd.com/,+1 415-605-9633,4,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
level,Industrial design company,"530 Hampshire St #301, San Francisco, CA 94110, United States",http://leveldesignsf.com/,+1 415-862-7091,4,5,hello@leveldesignsf.com
Designsake Studio,Design agency,"310 Sir Francis Drake Blvd, San Anselmo, CA 94960, United States",http://www.designsakestudio.com/,+1 415-374-7312,4,5,"info@designsakestudio.com, support@readymag.com, hello@readymag.com, edu@readymag.com, no-reply@readymag.com"
Product Development Experts,Design engineer,"221 Main St, Huntington Beach, CA 92648, United States",https://product-development-experts.com/,+1 714-366-9000,4,5,
ARCHEFFECT Design,Design agency,"3001 N Broadway #31500, Los Angeles, CA 90031, United States",http://www.archeffectdesign.com/,+1 949-533-2373,4,5,info@archeffectdedign.com
Pacific Science & Engineering,Industrial design company,"5880 Oberlin Dr, San Diego, CA 92121, United States",https://pacific-science.com/,+1 858-535-1661,4,3.8,
Night Palm interior designer Los Angeles,Interior designer,"2296 Hidalgo Ave, Los Angeles, CA 90039, United States",https://www.nightpalm.com/,+1 323-522-3366,4,4.8,info@nightpalm.com
Design Loft Company,Interior designer,"4020 Fabian Way #201, Palo Alto, CA 94303, United States",http://www.designloftcompany.com/,+1 650-938-8885,4,5,
Tandem Product Design,Industrial design company,"4041 MacArthur Blvd # 300, Newport Beach, CA 92660, United States",http://www.tandem-design.com/,+1 310-651-6855,3,5,contact@tandem-design.com
Nonfiction: Industrial Design + Space Architecture,Industrial design company,"55 Grace St, San Francisco, CA 94103, United States",http://www.nonfiction.design/,+1 415-829-2604,3,5,
Mindset Design LLC,Research and product development,"2040 Lone Oak Ave, Napa, CA 94558, United States",http://www.mindsetdesign.net/,+1 408-610-8780,3,5,
STEL,Industrial design company,"924 Anacapa St STE 1T1, Santa Barbara, CA 93101, United States",https://stel.design/,,3,5,hello@stel.design
School Street Design Company LLC,Industrial design company,"513 Townsend Dr, Aptos, CA 95003, United States",http://schoolstreetdesign.com/contact/,+1 831-535-9912,3,3.7,
Designz and Co,Design agency,"161 W Altadena Dr Unit #402, Altadena, CA 91001, United States",,+1 800-640-6690,3,5,
"ID Group, Inc",Industrial design company,"15262 Connector Ln, Huntington Beach, CA 92649, United States",http://www.idgroup-inc.com/,+1 714-914-3880,3,4.3,info@idgroup-inc.com
Patton Design,Industrial design company,"20371 Irvine Ave STE 250, Newport Beach, CA 92660, United States",http://www.pattondesign.com/,+1 949-753-1595,3,3.7,
"Product and Design, Inc",Metal fabricator,"795 Aladdin Ave, San Leandro, CA 94577, United States",http://www.productanddesign.com/,+1 510-895-8040,3,5,
Farm Design,Design agency,"26 E Colorado Blvd, Pasadena, CA 91105, United States",https://www.farmdesign.net/,+1 626-792-9565,3,5,hello@farmdesign.net
Avenue Interior Design,Interior designer,"833 S Spring St #300, Los Angeles, CA 90014, United States",http://www.avenueid.com/,+1 310-401-8116,3,5,info@avenueid.com
Avenue Interior Design,Interior designer,"833 S Spring St #300, Los Angeles, CA 90014, United States",http://www.avenueid.com/,+1 310-401-8116,3,5,info@avenueid.com
INTERIOR DESIGN GROUP,Interior designer,"3625 E Thousand Oaks Blvd #182, Westlake Village, CA 91362, United States",http://interiordesigngrp.com/,+1 805-428-8294,3,5,julia_diamond@sbcglobal.net
Kristin Lomauro Interior Design,Interior designer,"17556 Los Eucaliptos, Rancho Santa Fe, CA 92067, United States",http://www.kristinlomauro.com/,,3,5,design@kristinlomauro.com
Designs of the Interior,Interior designer,"960 S Westlake Blvd #6, Westlake Village, CA 91361, United States",http://www.interiordesignwestlake.com/,+1 805-418-1890,3,5,
Nina Design Company,Interior designer,"81 Northgate Ave, Berkeley, CA 94708, United States",https://www.ninadesigncompany.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14263539278833098816,+1 510-604-9679,3,5,info@ninadesigncompany.com
Orange Coast Interior Design,Interior designer,"36 Discovery #180, Irvine, CA 92618, United States",http://www.orangecoastinteriordesign.com/,+1 949-360-9936,3,5,info@orangecoastinteriordesign.com
"Caileen Designs, LLC",Interior designer,,http://www.caileendesigns.com/,,3,5,
M Industrial Design,Industrial design company,,http://www.idbym.com/,,2,5,
Primer Studios,Industrial design company,"1300 Factory Pl #303, Los Angeles, CA 90013, United States",http://www.primer-studios.com/,,2,5,
Design Visionaries,Industrial design company,"1832 Stone Ave, San Jose, CA 95125, United States",http://designvisionaries.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9046422692700825827,+1 408-997-6323,2,5,info@mysite.com
Idea House & Co.,Research and product development,"1518 Arrow Hwy Ste E, La Verne, CA 91750, United States",https://www.ideahouseandco.com/home?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6162876957524751220,+1 909-593-3222,2,5,"info@ideahouseandco.com, newbusiness@ideahouseandco.com"
"Christensen Product Design, Inc.",Industrial design company,"641 Glass Ln, Modesto, CA 95356, United States",,+1 209-661-4872,2,5,
M Industrial Design,Industrial design company,,http://www.idbym.com/,,2,5,
Whipsaw,Design agency,"55 Mississippi St, San Francisco, CA 94107, United States",https://www.whipsaw.com/,+1 408-297-9771,2,5,
SurfaceInk Product Design & Development,Engineering consultant,"130 Stockton Ave #255, San Jose, CA 95126, United States",https://www.surfaceink.com/,+1 408-293-3010,2,4.5,
LDA,Industrial design company,"16511 Scientific #200, Irvine, CA 92618, United States",http://www.ldallc.com/,+1 949-753-1482,2,5,
Design Development,Interior designer,"28035 Dorothy Dr # 100, Agoura Hills, CA 91301, United States",http://designdevelopment-group.com/,+1 818-991-3006,2,5,
LangeCustomz Lange Customz carbon fiber fabrication carbon fiber repair,Industrial design company,"11737 Wicks St, Sun Valley, CA 91352, United States",http://www.langecustomz.com/,+1 310-432-3073,2,5,josh@langecustomz.com
Product Design Developments,Plastic fabrication company,"15611 Container Ln, Huntington Beach, CA 92649, United States",http://www.pddplasticforming.com/,+1 714-898-6895,2,3,
