Priority,Contacted,title,category,website,phone,review_count,review_rating,emails
2,yes,Design + Industry,Industrial design company,https://www.design-industry.com.au/,+61 2 9555 1166,14,5,info@design-industry.com.au
,,Quiet Mind Studio,Design agency,https://www.quietmind.studio/,+61 433 348 602,13,5,
,,The Most Valuable Product - Brisbane Product Design,Design agency,https://themostvaluableproduct.com/,+61 422 110 739,13,5,
,,concept on,Design agency,http://www.concepton.com.au/,+61 431 363 020,11,5,playmate69@yahoo.com
,,Future Good,Design agency,https://www.futuregood.com.au/,+61 2 8005 0056,11,5,ky@futuregood.com.au
,,Large Arts,Marketing consultant,http://www.largearts.com.au/,+61 3 8415 1872,11,4.9,
,,Gould Studio,Design agency,http://gouldstudio.com/,+61 1300 887 937,10,5,hello@gouldstudio.com
,,LX Group Electronic & IoT Product Design,Electronics company,https://lx-group.com.au/,+61 2 9209 4133,10,5,
,,LX Group Electronic & IoT Product Design,Electronics company,https://lx-group.com.au/,+61 2 9209 4133,10,5,
1,yes,B.Product,Industrial design company,http://www.bproduct.com.au/,+61 2 8006 2474,10,5,hello@bproduct.com.au
,yes,ONEPOINTSIX Product Development Specialists - Product Design and Industrial Design Services,Industrial design company,http://www.onepointsix.com.au/,+61 1300 992 114,9,5,"info@onepointsix.com.au, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,,"Monash Art, Design & Architecture",Academic department,https://monash.edu/mada/,+61 1800 666 274,8,4.9,
,,UntilNow,Design agency,https://www.untilnow.com.au/,+61 2 8074 5406,8,5,hello@untilnow.com.au
,yes,Design Anthology,Industrial design company,http://www.designanthology.com/,+61 2 4021 1027,8,4.9,hello@designanthology.com
,,The Product Agency,Website designer,https://www.productagency.com.au/,+61 1300 591 777,8,5,talk@productagency.com.au
,,Graphic Design Australia - Packaging Design & Product Branding Brisbane,Graphic designer,https://www.graphicdesignaustralia.net.au/brisbane-packaging-design,+61 7 5601 8971,7,5,
,,Logo Designs Australia,Graphic designer,https://logodesignsaustralia.com.au/,+61 415 262 786,7,5,logodesignsaustralia@gmail.com
,yes,Hone Product Design,Industrial design company,http://honepd.com/,+61 2 4037 7945,6,3.7,hello@honepd.com
,,StudioBand,Graphic designer,https://studioband.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,+61 8 8221 6700,5,5,Info@studioband.com.au
,,Yada Graphic Design,Graphic designer,https://yada.wtf/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 493 028 378,5,4.4,
,yes,-,Industrial design company,,+61 487 918 590,5,5,
3,yes,Design Edge,Industrial design company,http://www.designedge.com.au/,+61 2 9986 3890,5,4.2,ideas@designedge.com.au
,yes,WOWME Design Solutions PTY LTD,Industrial design company,http://www.wowme.design/,,5,5,hello@wowme.design
,,Visual State,Animation studio,http://www.visualstate.co/,+61 2 8066 0814,4,5,
,,We Discover,Design agency,http://www.wediscover.com.au/,,4,4.5,
,,"Shape Labs - Product Design, Rapid Prototyping and Manufacturing",Engineering consultant,http://www.shapelabs.com.au/,+61 432 014 612,4,4.8,
,,Designs Australia,Furniture maker,http://designsaustralia.com/,+61 3 9489 1076,4,5,
,yes,4DESIGN,Industrial design company,https://www.4design.com.au/,+61 2 9280 4454,4,5,
,yes,Idea to Life,Industrial design company,http://www.ideatolife.com.au/,+61 8 6146 3118,4,5,team@adarsh.com.au
,yes,Tilt Industrial Design,Industrial design company,https://www.tilt-industrialdesign.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,+61 2 9966 8867,4,4,"studio@tilt-industrialdesign.com, marketing@tilt-industrialdesign.com"
,,Design+Create,Promotional products supplier,http://www.designpluscreate.com.au/,+61 416 298 664,4,5,"lyndsey@designpluscreate.com.au, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,,Creator Global,Design agency,http://creator.global/,+61 423 951 500,3,5,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
,,Dot Design,Design agency,http://www.dotdesignpop.com/,+61 2 9361 3655,3,5,info@dotdesignpop.com
,,More Studio,Design agency,http://www.morebymore.com/,,3,3.7,"info@morebymore.com, careers@morebymore.com, james@morebymore.com"
,,Self-titled,Design agency,http://selftitled.com.au/,+61 3 9005 1854,3,5,
,,Formzoo - Innovative Product Design,Engineering consultant,http://formzoodesign.com/,+61 7 3160 7124,3,3.7,mail@formzoodesign.com
,,Solid Design Solutions Australia,Engineering consultant,http://soliddesignaustralia.com.au/,+61 413 715 117,3,5,
,yes,Design Momentum,Industrial design company,http://www.designmomentum.com.au/,+61 2 9460 0731,3,4.7,emailus@designmomentum.com.au
,yes,Studio Periscope,Industrial design company,http://www.studioperiscope.com/,+61 3 9024 6775,3,5,
,,Purpose Design Lab,Research and product development,http://www.purposedesignlab.com/,+61 424 496 909,3,5,info@purposedesignlab.com
,,Designit,Design agency,http://www.designit.com/,+61 2 9169 9889,2,5,"singapore@designit.com, oslo@designit.com, telaviv@designit.com, sydney@designit.com, seattle@designit.com, newyork@designit.com, munich@designit.com, madrid@designit.com, london@designit.com, copenhagen@designit.com, image-copenhagen-studio@3x.jpg, aarhus@designit.com"
,,Prendi,Design agency,http://www.prendi.com.au/,+61 7 3844 1134,2,5,contact@prendi.com.au
,,thINK,Design agency,,+61 2 9698 7033,2,5,
,,IDE Group,Engineering consultant,http://www.ide.group/,+61 2 9647 2660,2,5,
,,Imagineering Design,Engineering consultant,http://www.imagineeringdesign.com.au/,+61 8 8162 9076,2,5,enquiry@imagineeringdesign.com.au
,yes,Australian Design Lab,Industrial design company,http://www.australiandesignlab.com.au/,+61 411 959 468,2,5,
,yes,Product Lab Pty Ltd,Industrial design company,http://www.productlabltd.com/,+61 7 5449 9972,2,5,enquiries@productlabltd.com
,yes,Rog Design Studio,Industrial design company,https://rogdesignstudio.com.au/,,2,5,hello@rogdesignstudio.com.au
,,Aplo ??ser Experience Design,Research and product development,http://www.aplo.design/,+61 429 406 211,2,5,contactus@aplodesign.com.au
,,Design Workshop Australia,Architect,http://www.designworkshop.com.au/,+61 2 4227 1661,1,5,
,,Evie Group,Design agency,http://www.eviegroup.com/,+61 2 9818 6735,1,5,info@eviegroup.com
,,Impact Graphics Pty Ltd,Design agency,https://www.impactgraphics.com.au/,+61 1300 794 654,1,5,
,,Made Together,Design agency,https://www.madetogether.com.au/,+61 2 8006 5089,1,5,hello@madetogether.com.au
,,Studio Alt,Design agency,http://studioalt.com.au/,,1,5,
,,Studio Round,Design agency,http://www.round.com.au/,+61 3 9663 6675,1,4,
,,Design to Production - Industrial Design Sydney,Electronics manufacturer,http://d-p.com.au/,+61 2 9587 9951,1,5,
,,Icarus Design,Graphic designer,http://www.icarus.com.au/,+61 8 8357 6400,1,5,design@icarus.com.au
,yes,CMD Product Design & Innovation,Industrial design company,http://www.cmd.net.au/,+61 7 3371 9189,1,5,contact@cmd.net.au
,yes,Prouza Design Workshop,Industrial design company,http://www.prouzadesign.com/,+61 434 959 938,1,5,
,yes,Sinclair Product Design,Industrial design company,http://sinclairproductdesign.com.au/,+61 422 105 960,1,5,shoji@sinclairproductdesign.com.au
,yes,Sinclair Product Design,Industrial design company,http://sinclairproductdesign.com.au/,+61 422 105 960,1,5,shoji@sinclairproductdesign.com.au
,,Horizon Workshops,Marketing agency,https://www.horizonworkshops.com.au/,+61 8 8395 7476,1,5,art@flipsideprint.com.au
,,Design Institute of Australia,Non-profit organization,http://www.design.org.au/,+61 1300 888 056,1,5,admin@design.org.au
,,.01 Design Pty Ltd,Design agency,https://www.point01design.com.au/,,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,,Centre for Inclusive Design,Design agency,https://centreforinclusivedesign.org.au/,+61 2 9212 6242,0,0,
,,Ideond Pty Ltd,Design agency,http://ideond.com/,+61 439 248 411,0,0,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
,,Proen Design Australia,Design agency,http://www.proen.com.au/,+61 8 8152 0800,0,0,info@proen.com.au
,,Proen Design Australia,Design agency,https://www.proen.com.au/,+61 8 8152 0800,0,0,info@proen.com.au
,,Standard Projects,Design agency,http://standard-projects.com/,+61 439 849 717,0,0,info@standard-projects.com
,,The Creative Method,Design agency,http://www.thecreativemethod.com/,+61 2 8231 9977,0,0,us@thecreativemethod.com
,,Sparta Design Works - Product Design and Innovation Adelaide,Design engineer,,+61 475 210 122,0,0,
,,Graphic Design Australia,Graphic designer,http://foodpackagingdesign.com.au/,+61 7 5601 8971,0,0,create@graphicdesignaustralia.net.au
,yes,Andrew Rogers Industrial Design,Industrial design company,http://arid.design/,+61 413 120 037,0,0,
,yes,CADDS Group Product Design,Industrial design company,https://cadds.com.au/cadds-consulting/consulting-services/product-design/,,0,0,"hr@cadds.com.au, sales@cadds.com.au"
,yes,Convert Studios,Industrial design company,http://www.convertstudios.com.au/,+61 1300 559 301,0,0,"info@convertstudios.com.au, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
,yes,J Packer Design,Industrial design company,http://www.jpacker.com.au/,+61 414 920 828,0,0,john@jpacker.com.au
,yes,Supersuite,Industrial design company,http://www.supersuite.com.au/,+61 8 8122 2837,0,0,"info@yoursite.com, hello@supersuite.com.au"
,,Design Make Produce,Manufacturer,,+61 403 693 733,0,0,
,,X-PRODUCT,Mechanical engineer,http://www.xproduct.com.au/,+61 401 499 808,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,,Design Brains Pty Ltd,Research and product development,http://www.db1.com.au/,+61 8 8778 2220,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
