Important,title,category,website,phone,review_count,review_rating,emails
,Pulp Design Studios,Interior designer,https://pulpdesignstudios.com/contact/,+1 206-701-9795,7,5,info@pulpdesignstudios.com
,Living by Laura - Interior Design,Interior designer,http://www.livingbylaura.com/,+1 206-818-5767,7,5,livingbylaura@gmail.com
,Peterman Design Firm,Research and product development,http://www.petermanfirm.com/,+1 360-474-7525,7,4.9,
,Inch Inc,Industrial design company,http://www.inchnyc.com/,+1 718-260-0069,6,5,ig-badge-sprite-32@2x.png
,Product Creation Studio,Research and product development,http://productcreationstudio.com/,+1 206-297-7200,6,5,
,Group T Design,Design agency,http://www.grouptdesign.com/,+1 202-213-5453,5,4.6,t@grouptdesign.com
,Simplexity Product Development,Engineering consultant,https://www.simplexitypd.com/,+1 206-456-4197,5,4.8,
,Pillar Product Design,Industrial design company,http://www.pillardesign.net/,+1 206-294-3691,5,5,info@pillardesign.net
,Noble Design,Interior designer,https://nobledesignolympia.com/,+1 360-441-2105,5,5,candice@nobledesignolympia.com
,Diatomic Product Development,Research and product development,http://www.diatomicpd.com/,+1 206-915-1058,5,5,info@diatomicpd.com
,"Fathom Creative, Inc.",Design agency,http://fathomcreative.com/,+1 202-588-8100,4,5,
,Wildforth Creative,Design agency,,+1 206-486-7792,4,5,
,Design Branch,Industrial design company,http://www.designbranchonline.com/,+1 267-304-1890,4,5,"dewalt_black@2x.png, Standard-Black@4x.png"
,Unbox Product Design,Industrial design company,https://www.unboxpd.com/,+1 415-605-9633,4,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,Friendly Design Co,Design agency,http://www.friendlydesign.co/,+1 202-656-1283,3,5,someone@friendlydesign.co
,Built Design,Industrial design company,http://builtcorp.com/,+1 425-259-4114,3,5,HOME-Slide-1@3x.jpg
,Function Foundry,Industrial design company,http://functionfoundry.com/,+1 206-566-7204,3,5,
,Facture Product Development,Research and product development,http://facture.design/,+1 206-420-8086,3,5,info@facture.design
,"Anvil Studios, Inc",Design agency,http://www.anvil-studios.com/,+1 206-799-4835,2,5,hello@anvil-studios.com
,"Cognition Studio, Inc.",Design agency,https://cognitionstudio.com/,+1 206-382-7257,2,5,"contact@cognitionstudio.com, Grid_Communication_Light-1@1x.png, Grid_Communication_Light-1@2x.png, Grid_Communication_Light-1@3x.png, Grid_Communication_Light-1@4x.png, Grid_Strategy_Light-1@1x.png, Grid_Strategy_Light-1@2x.png, Grid_Strategy_Light-1@3x.png, Grid_Strategy_Light-1@4x.png, Grid_Innovation_Light-1@1x.png, Grid_Innovation_Light-1@2x.png, Grid_Innovation_Light-1@3x.png, Grid_Innovation_Light-1@4x.png, Homepage_Sizzle-Reel-Placeholder@1x.png, Homepage_Sizzle-Reel-Placeholder@2x.png, Homepage_Sizzle-Reel-Placeholder@3x.png, Homepage_Sizzle-Reel-Placeholder@4x.png, Sana_Thumbmail-1@1x.png, Sana_Thumbmail-1@2x.png, Sana_Thumbmail-1@3x.png, Sana_Thumbmail-1@4x.png, TriSalus__Thumbmail@1x.png, TriSalus__Thumbmail@2x.png, TriSalus__Thumbmail@3x.png, TriSalus__Thumbmail@4x.png, Cytokinetics_Thumbmail-1@1x.jpg, Cytokinetics_Thumbmail-1@2x.jpg, Cytokinetics_Thumbmail-1@3x.jpg, Cytokinetics_Thumbmail-1@4x.jpg"
,Freed Art* Design Agency,Design agency,,+1 425-280-1580,2,3,
,Amy Wellnitz Design,Interior designer,https://www.amywellnitz.com/,,2,5,amy@amywellnitzdesign.com
,Yeomalt Design,Manufacturer,http://yeomaltdesign.com/,+1 206-913-3404,2,5,studio@yeomaltdesign.com
,"RapidMade Inc - 3D Printing, Thermoforming, Custom Manufactured Parts, Engineering and 3D Scanning",3D printing service,http://www.rapidmade.com/,+1 503-943-2781,1,5,info@rapidmade.com
,Pure Design Group,Advertising agency,http://puredesigngroup.com/,+1 206-953-9415,1,5,info@puredesigngroup.com
,McMillan Creative,Advertising agency,,+1 775-742-8177,1,5,
,Malolo Design Co.,Design agency,http://malolodesignco.com/,+1 206-552-6521,1,5,info@malolodesignco.com
,a small studio,Design agency,https://asmallstudio.com/,+1 216-905-3958,1,5,
,okaybro,Design agency,http://www.okaybro.com/,+1 608-358-0819,1,5,
,Seattle Design Lab,Industrial design company,https://www.seattledesignlab.com/,+1 206-556-0603,1,5,"Custom_Products_1_300x@2x.png, NEW_2023_tile_1_300x@2x.png, Modular_Displays_tile_1_1_300x@2x.png, On_Sale_Category_card_300x@2x.png, Acrylic_Retail_Signs_Tile_300x@2x.png, pre-roll_displays_img_300x@2x.png, Displays_Tile_1_300x@2x.png, LCD_PRODUCTS_TILE_1_1_300x@2x.gif, Best_Sellers_300x@2x.png, Floor_Mat_Rugs_Collection_300x@2x.png"
,Speck Design,Industrial design company,https://www.speckdesign.com/,+1 650-980-9860,1,5,
,Bassett Construction,Industrial design company,http://www.bassettusa.com/,+1 360-718-8640,1,5,
,Kennedy Interior Design,Interior designer,https://www.kennedyinteriordesign.com/,+1 360-303-0909,1,5,
,Pensar,Research and product development,,+1 206-284-3134,1,5,
,Blank Space,Design agency,http://getblankspace.com/,+1 206-418-6125,0,0,Hello@GetBlankSpace.com
,Modern Species,Design agency,http://modernspecies.com/,+1 206-512-8899,0,0,us@modernspecies.com
,Effective Design Studio (Seattle Area Graphic Design),Design agency,http://www.effectivedesign.com/,+1 206-328-8989,0,0,"e-logo-header-new@2x.png, icon-advertising@2x.png, icon-video@2x.png, icon-branding@2x.png, icon-environments@2x.png, icon-copywriting@2x.png, icon-digital@2x.png"
,RKS Design | Product Design and Development Firm,Design agency,https://rksdesign.com/,+1 805-370-1200,0,0,
,Tactile,Design agency,http://tactileinc.com/,+1 206-448-5550,0,0,hello@tactileinc.com
,Kingslien Creations - Product Design and 3D Modeling service,Design engineer,https://www.kingsliencreations.com/,+1 805-407-2031,0,0,"kingslien@2x.png, KC_logo@2x.png, creations@2x.png, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,"Object Oriented Design Group, Inc.",Engineering consultant,http://www.oodg.com/,+1 425-837-9906,0,0,
,Brackish Design LLC,Industrial design company,https://www.brackishdesign.com/,+1 240-434-3564,0,0,Austin@BrackishDesign.com
,Brackish Design LLC,Industrial design company,https://www.brackishdesign.com/,+1 240-434-3564,0,0,Austin@BrackishDesign.com
,Epoch Product Design,Industrial design company,,+1 503-667-4100,0,0,
,Experience Design Project,Interior designer,https://www.expdesignproject.com/contact-5,+1 425-264-5634,0,0,info@mysite.com
,Kaisaro Design Group,Research and product development,https://www.kaisaro.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6306223746232107232,+1 206-290-1600,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
