,title,category,website,phone,review_count,review_rating,emails
,Ranvals Software,Software company,https://ranvals.com/,+90 850 308 1349,5,5,
,Atlas Space,Software company,https://atlas.space/,,5,4.4,
--------,Mafia Games,Software company,http://www.mafia-games.com/,+90 216 411 90 41,4,4,
,Zonex Entertainment Studios,Software company,,+90 212 843 90 13,4,5,
,Roko Game Studios,Software company,,,3,5,
,Polyque Games,Software company,,+90 530 706 74 32,3,5,
,MooMoo Games,Software company,http://moomoo.games/,+90 850 307 1907,3,5,
,Naja Games,Software company,,,3,5,
,Gameguru,Software company,http://www.gameguru.mobi/,,3,4.3,
--------,Imaginite Studios,Software company,https://www.imaginitesoft.com/,+90 212 812 39 52,3,5,
,Enucuzoyun.com,Software company,https://enucuzoyun.com/,,3,5,
,Codeventure,Software company,https://codeventure.co/,+90 216 346 04 06,3,5,"Email@email.com, info@codeventure.co"
,Fabrika Games,Software company,http://www.fabrikagames.com/,,2,4.5,
,Machina Games,Software company,http://machinagames.xyz/,,2,5,"3d11@2x.png, 3d8@2x.png"
,Midpoly Games,Software company,https://midpolygames.com/,,2,5,
,Hyperlab,Software company,https://www.hyperlab.games/,,2,5,
,Scorp Game Yazilim Sanayi Ticaret A.S.,Software company,https://www.scorpgame.com/,+90 545 117 26 77,2,5,
,Yin Yang Games,Software company,http://yinyang.games/,,2,5,hello@yinyang.games
,Frostline Games,Software company,http://frostline.games/,+90 212 830 43 13,2,4,info@frostlinegames.com
,Lootcopter Game Studio,Software company,,,2,3,
,Digital Academy of Istanbul,Education center,https://www.facebook.com/digitalacademyist,+90 531 929 28 14,2,4.5,
,Nexcore Studios,Software company,https://nexcorestudios.com/tr/,,2,5,
,ROOT / Product Design Studio,Toy and game manufacturer,http://www.root.work/,+90 535 718 36 30,2,5,HELLO@ROOT.WORK
,njoyKidz,Software company,https://njoykidz.com/,,2,5,hello@njoykidz.com
,Gamester Kids,Software company,http://www.gamester.com.tr/,+90 216 606 62 41,2,5,
,Kontra Dijital Servisler,Research and product development,,+90 212 213 33 93,2,3,
,Radiant Cat Studio,Software company,http://radiantcat.studio/,+90 212 877 18 77,2,5,info@radiantcat.studio
,Veloxia Technology,Software company,http://veloxiatechnology.com/,+90 536 500 35 71,2,4.5,
,Motivacraft Inc,Software company,https://www.motivacraft.com/,+90 212 951 03 58,2,3,
,Funverse Games,Software company,https://www.funversegames.com/,,1,5,media@funversegames.com
,Flamingo Game Studio,Software company,http://www.flamingo.gs/,,1,5,info@flamingo.gs
,Rare Forge,Software company,http://www.rareforge.com/,+90 531 085 77 75,1,5,
,Metavision Studio,Software company,https://www.metavision.com.tr/,+90 850 308 6382,1,5,logo-black@2x.png
,MoonStar Games,Animation studio,http://moonstargames.com/,+90 212 570 02 92,1,5,info@moonstargames.com
,Ace Games,Software company,http://ace.games/,,1,5,
,Maestro Game Studio,Software company,http://www.maestro.gs/,,1,3,
,Lynx Gamez INC,Software company,,+90 212 211 33 22,1,5,
,Wide Game Studio,Software company,https://widegamestudio.com/,+90 507 239 67 69,1,5,"request@yourwebsite.com, career@yourwebsite.com"
,GAME ISTANBUL PLUS I? VE DIS TICARET LIMITED SIRKETI,Software company,,+90 532 737 11 15,1,1,
,Yamy Studio,Software company,https://yamystudio.com/,+90 505 553 29 33,0,0,
,FunDream Games,Software company,http://fundreamgames.com/,,0,0,contact@fundream.games
,Leo Games,Software company,,+90 555 424 02 10,0,0,
,Semsemin Game Development,Software company,https://agekader.com/,+90 506 349 80 38,0,0,
,Blackburne Games,Software company,http://www.blackburnegames.com/,+90 533 406 12 99,0,0,info@blackburnegames.com
,Balkan Game Developers,Software company,,,0,0,
,Avenpi Game Studio,Software company,http://avenpi.com.tr/,+90 549 576 79 77,0,0,info@avenpi.com.tr
,YEAPP GAME,Software company,https://yeapp.gs/,,0,0,
,Efsun Games,Software company,https://www.efsungames.com/,,0,0,info@efsungames.com
,Mai Games,Software company,https://mai.games/,,0,0,hr@maI.games
,Cube Games Studio,Software company,,+90 216 201 10 00,0,0,
,ModaGames,Software company,http://www.modagames.com/,,0,0,official@modagames.com
,BANBA GAMES,Software company,,,0,0,
,OXS Games,Software company,http://oxs.games/,+90 212 232 32 20,0,0,games@oxsbilisim.com
,Gametator,Software company,https://www.gametator.com/,,0,0,
,Early Retirement Game Studios,Software company,,,0,0,
,FY Games,Software company,https://fygames.dev/,+90 537 507 28 84,0,0,
,Waker Games,Software company,http://www.wakergames.com/,+90 552 804 44 25,0,0,contact@wakergames.com
,Arsh Games,Software company,http://www.arshgames.com/,+90 212 400 03 80,0,0,info@narkom.com.tr
,Idris ?elik - Game Design,Software company,http://www.idriscelik.com.tr/,,0,0,
,HEY Games,Software company,https://hey.gs/,,0,0,
,dozer game studios,Software company,,+90 507 777 82 11,0,0,
,Forge Oyun Teknolojileri A.S.,Software company,https://forgegames.co/,,0,0,
,Bizsim Game Studios Bilisim Teknoloji Sanayi Ve Ticaret Anonim Sirketi,Software company,,,0,0,
,Game to Game,Software company,,+90 553 752 23 48,0,0,
,Funmetric Game Analytics Company,Software company,,+90 546 485 33 23,0,0,
,AKY Games,Software company,,,0,0,
,Performa Games,Software company,,+90 530 327 97 12,0,0,
,MaxPak Studio - Game Design Company,Design agency,https://maxpakstudio.com/,+90 552 678 60 25,0,0,
,Apphic Games,Software company,http://apphicgames.com/,,0,0,
,Last Games Oyun Yazilim ve Pazarlama Limited Sirketi,Software company,https://last.games/,+90 533 123 30 00,0,0,info@last.games
,On Off Games,Software company,http://onoff.games/,,0,0,
,OOO Games,Software company,http://ooo-games.com/,,0,0,main@ooo-games.com
,Volx Games,Software company,http://volxgames.com/,,0,0,hi@volxgames.com
,Bizsim Game Studios Bilisim Teknoloji Sanayi Ve Ticaret Anonim Sirketi,Software company,https://bizsim.com/,,0,0,
,Tigloos,Software company,https://tigloos.com/,,0,0,
,Omicron Game,Software company,http://omicron.games/,+90 850 840 9277,0,0,
,GD34 game,Software company,http://gd34.com/,+90 212 371 46 46,0,0,
,Hyperbox Games Yazilim Bilisim Limited Sirketi,Software company,,,0,0,
,Redsoft Studio,Software company,http://redsoftstudio.com/,+90 212 229 68 26,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
,X level Games,Software company,http://xlevelgames.com/,,0,0,
,Inspector Studios,Software company,http://inspectorstudios.com/,,0,0,info@inspectorstudios.com
