Contacted,title,category,website,phone,review_count,review_rating,emails
,Erite Solutions,Software company,https://eritesolutions.com/,+1 4078716795,sales@eritesolutions.com,,
,Exploding Diamond Games,Software company,http://explodingdiamond.com/,+1 6198001274,,,
,Game Builders Academy,Learning center,http://www.gbalearning.com/,+1 5166295333,0,0,info@gbalearning.com
,GameLab,Graphic designer,http://www.gamelab.com/,,1,5,
,Gameloft Inc.,Software company,,+1 2129933000,31,3.6,
,GamerBoxStudios,Software company,,+1 2522976730,0,0,
,GAMERSHUB LLC,Software company,http://gamershub.gg/,+1 7325401034,7,3,"talent@gamershub.gg, contact@gamershub.gg"
,HQSoftware,Software company,https://hqsoftwarelab.com/,+1 9177203806,0,0,
,Intwish,Software company,http://www.intwish.com/,0334 3375919,info@intwish.com,,
,iQlance Solutions - App Developers New York,Software company,https://www.iqlance.com/new-york-mobile-app-developers/,+1 9174778991,4,5,info@iqlance.com
,Juego Studios - Game Development Company,Software company,https://www.juegostudio.com/,+91 81471 51122,"info@juegostudio.com, info.usa@juegostudio.com, info.uk@juegostudio.com",,
,Juego Studios NJ - Game Development Company,Software company,https://www.juegostudio.com/?utm_source=GooglePlaces&utm_medium=Maps&utm_campaign=GooglePlaces_US_NJ,+1 9402185249,"info@juegostudio.com, info.usa@juegostudio.com, info.uk@juegostudio.com",,
,Kakao Games USA Inc.,Software company,http://www.kakaogames-us.com/,+1 6503538180,,,
,Longtail Studios,Software company,,+1 6464438000,3,2.7,
,Magic Playbox XR Studio,Software company,https://magicplaybox.us/,+1 2019896113,0,0,serge@magicplaybox.us
,MindGeek Labs,Software company,,+1 6468444504,0,0,
,N0va Virtual Reality,Software company,http://novamedia.nyc/,,15,5,
,Ninjafish Studios LLC,Software company,,+1 2105647123,0,0,
,noformat,Design agency,http://noformat.com/,+1 2126349104,2,5,
,Pixeldust Studios NY,Animation studio,http://www.pixeldust.tv/,+1 3016560050,1,5,
,Playable Design LLC,Software company,https://playable.design/,,0,0,
,Playmada Games,Software company,,+1 8442222320,0,0,
,Quytech - Mobile App Development Company,Software company,https://www.quytech.com/,+1 9099540408,1,5,
,RIKSOF,Software company,http://www.riksof.com/,021 35292676,,,
,Riseup Labs,Software company,https://riseuplabs.com/,+1 9173382503,0,0,
,Rockstar Games,Corporate office,http://www.rockstargames.com/,+1 2123346633,1786,4.3,
,Skilled Game Development,Software company,,+1 8777438729,,,
,Skull Fire Games LLC.,Software company,,+1 3476889436,0,0,
,Softelab,Software company,https://softelab.com/,+1 8008268018,1,5,abc@example.com
,Stepico,Software company,https://stepico.com/,+1 6467223302,0,0,
,Suto Games - Game Development Company,Software company,https://sutogames.com/,+1 4379284432,contact@sutogames.com,,
,TekRevol New York | Mobile App & Software Development Company NYC,Software company,https://www.tekrevol.com/lp1/app-development-agency-new-york?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-nyc&utm_id=gmb-nyc,+1 6462051625,7,4.4,"golden@2x.png, silverr@2x.png, dot-com-pl@2x.png, experties2022@2x.png, top-entertainment-developer@2x.png, timmy-award@2x.png, houston@2x.png, fast_company@2x.png, gold-winner@2x.png, silver-winner@2x.png, top-b2b@2x.png, top-developer-2021@2x.png, experties@2x.png, goodfirms@2x.png, clutch@2x.png, softwareworld@2x.png, adobe-solution@2x.png, app-futura@2x.png, best-digital-agency@2x.png, itfirms@2x.png, clutch-react@2x.png, top-developer@2x.png"
,Trango Tech New York - Mobile App development Company,Software company,https://trangotech.com/mobile/app-development-new-york-city/?utm_source=GMB&utm_medium=GMB+NYC&utm_campaign=GMB+NYC,+1 8334422711,9,5,abc@example.com
,Vanguard X,Software company,https://vanguard-x.com/,+1 4154813295,2,5,
,Videogamesnewyork,Video game store,https://videogamesnewyork.com/,+1 2125391039,1381,4.5,
,Virtual Lab,Software company,http://virtualabvr.com/,+1 3322495824,5,5,
,"VoxPop Games, Inc.",Software company,https://www.voxpopgames.com/,+1 8585395845,42,5,
,WildCard Games,Software company,http://wildcardmobile.com/,+1 8009525210,,,
