Contacted,title,category,website,phone,review_count,review_rating,emails
,CodeLabs Private Limited,Software company,https://www.codelabs.inc/,021 37130082,someone@email.com,,
,Codesy Consulting,Software company,https://codesyconsulting.com/,021 34820005,,,
,Codup,Software company,https://codup.co/,+1 2815958169,,,
,cognitiostrategies.io – Taking Your Web3 Gaming & NFT Projects to New Heights,Computer service,https://cognitiostrategies.io/contact/,+1 2125025192,0,0,"ena@cognitiostrategies.io, contact@cognitiostrategies.io"
,"CollectivePoint, LLC",Software company,http://www.collectivepoint.com/,+1 512-537-3700,4,5,
,Console Creative | Web Design Agency,Website designer,https://www.consolecreative.com/,+1 9178321842,2,5,support@consolecreative.com
,Constellation,Software company,http://www.helloconstellation.com/,+1 9148470562,29,4.8,support@helloconstellation.com
,Contour Software Pvt. Ltd.,Software company,https://contour-software.com/,021 34306280,,,
,Crocoapps,Software company,https://crocoapps.com/contact/,+1 6143487474,0,0,
,Cubix,Software company,https://www.cubix.co/,021 35185337,,,
,Cyber Infrastructure Inc.,Software company,https://www.cisin.com/,+1 4358000086,0,0,
,Dak*Not*Done*Yet Gaming Or Nothing,Sports school,https://dak-not-done-yet-gaming-or-nothing.ueniweb.com/?utm_campaign=gmb,+1 737-529-1899,1,5,christopherhenry680@gmail.com
,Daybreak Game Company,Corporate office,https://www.daybreakgames.com/,+1 858-239-0500,22,1.9,
,Descent Underground,Software company,,+1 413-563-3746,2,5,
,Design Positive,Design agency,http://www.designpositive.co/,+1 512-522-4410,44,5,
,"DEV3LOPCOM, LLC",Software company,https://dev3lop.com/,+1 214-971-9869,15,5,
,Digital Dividend,Software company,https://www.digital-dividend.com/,021 34973529,"talktous@digital-dividend.com, info@digital-dividend.com",,
,DigiTrends,Software company,https://www.digitrends.pk/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB&utm_id=Pakistan,021 34376262,,,
,echo3D,Software company,https://www.echo3d.com/,,2,5,
,End Game Digital | Digital Strategy and Systems Development,Software company,https://endgamedigital.com/,+1 619-214-7851,2,5,
,Enduring Games,Software company,https://www.enduring.games/,,0,0,
,Erite Solutions,Software company,https://eritesolutions.com/,+1 4078716795,sales@eritesolutions.com,,
,Exploding Diamond Games,Software company,http://explodingdiamond.com/,+1 6198001274,,,
,Fictive Studios,Software company,https://fictivestudios.com/,+1 208-556-4305,30,3.6,info@fictivestudios.com
,Game 7 Staffing LLC,Temp agency,http://www.game7staffing.com/?utm_source=GMB&utm_medium=Organic,+1 512-592-3900,6,2.3,
,Game Builders Academy,Learning center,http://www.gbalearning.com/,+1 5166295333,0,0,info@gbalearning.com
,Game Worlds,Summer camp,http://www.gameworldscamp.com/,+1 737-420-2248,16,5,sami@gameworldscamp.com
,GameLab,Graphic designer,http://www.gamelab.com/,,1,5,
,Gameloft Inc.,Software company,,+1 2129933000,31,3.6,
,GameOn! ATX,Corporate entertainment service,http://gameon.fun/,+1 737-209-0064,320,5,info@gameon.fun
,GamerBoxStudios,Software company,,+1 2522976730,0,0,
,GAMERSHUB LLC,Software company,http://gamershub.gg/,+1 7325401034,7,3,"talent@gamershub.gg, contact@gamershub.gg"
,"GameSim, a Keywords Studio",Software company,https://www.gamesim.com/,,0,0,info@gamesim.com
,GLIDE®,Website designer,https://www.glidedesign.com/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,+1 512-215-4236,31,5,"hello@glidedesign.com, nbcf-image-redesign@2x-800x952.webp, nbcf-image-redesign@2x-252x300.webp, nbcf-image-redesign@2x-860x1024.webp, nbcf-image-redesign@2x-768x914.webp, nbcf-image-redesign@2x-76x90.webp, nbcf-image-redesign@2x-90x107.webp, nbcf-image-redesign@2x-1000x1190.webp, nbcf-image-redesign@2x-900x1071.webp, nbcf-image-redesign@2x-700x833.webp, nbcf-image-redesign@2x-600x714.webp, nbcf-image-redesign@2x-500x595.webp, nbcf-image-redesign@2x-400x476.webp, nbcf-image-redesign@2x-300x357.webp, nbcf-image-redesign@2x-200x238.webp, nbcf-image-redesign@2x-100x119.webp, nbcf-image-redesign@2x.webp, cota-list-redesign@2x-800x952.webp, cota-list-redesign@2x-252x300.webp, cota-list-redesign@2x-860x1024.webp, cota-list-redesign@2x-768x914.webp, cota-list-redesign@2x-76x90.webp, cota-list-redesign@2x-90x107.webp, cota-list-redesign@2x-1000x1190.webp, cota-list-redesign@2x-900x1071.webp, cota-list-redesign@2x-700x833.webp, cota-list-redesign@2x-600x714.webp, cota-list-redesign@2x-500x595.webp, cota-list-redesign@2x-400x476.webp, cota-list-redesign@2x-300x357.webp, cota-list-redesign@2x-200x238.webp, cota-list-redesign@2x-100x119.webp, cota-list-redesign@2x.webp, q2stadium-list-redesign@2x-800x952.webp, q2stadium-list-redesign@2x-252x300.webp, q2stadium-list-redesign@2x-860x1024.webp, q2stadium-list-redesign@2x-768x914.webp, q2stadium-list-redesign@2x-76x90.webp, q2stadium-list-redesign@2x-90x107.webp, q2stadium-list-redesign@2x-1000x1190.webp, q2stadium-list-redesign@2x-900x1071.webp, q2stadium-list-redesign@2x-700x833.webp, q2stadium-list-redesign@2x-600x714.webp, q2stadium-list-redesign@2x-500x595.webp, q2stadium-list-redesign@2x-400x476.webp, q2stadium-list-redesign@2x-300x357.webp, q2stadium-list-redesign@2x-200x238.webp, q2stadium-list-redesign@2x-100x119.webp, q2stadium-list-redesign@2x.webp, hebf-list-redesign@2x-800x952.webp, hebf-list-redesign@2x-252x300.webp, hebf-list-redesign@2x-860x1024.webp, hebf-list-redesign@2x-768x914.webp, hebf-list-redesign@2x-76x90.webp, hebf-list-redesign@2x-90x107.webp, hebf-list-redesign@2x-1000x1190.webp, hebf-list-redesign@2x-900x1071.webp, hebf-list-redesign@2x-700x833.webp, hebf-list-redesign@2x-600x714.webp, hebf-list-redesign@2x-500x595.webp, hebf-list-redesign@2x-400x476.webp, hebf-list-redesign@2x-300x357.webp, hebf-list-redesign@2x-200x238.webp, hebf-list-redesign@2x-100x119.webp, hebf-list-redesign@2x.webp, bcm-list-redesign@2x-400x476.webp, bcm-list-redesign@2x-252x300.webp, bcm-list-redesign@2x-860x1024.webp, bcm-list-redesign@2x-768x914.webp, bcm-list-redesign@2x-76x90.webp, bcm-list-redesign@2x-90x107.webp, bcm-list-redesign@2x-1000x1190.webp, bcm-list-redesign@2x-900x1071.webp, bcm-list-redesign@2x-800x952.webp, bcm-list-redesign@2x-700x833.webp, bcm-list-redesign@2x-600x714.webp, bcm-list-redesign@2x-500x595.webp, bcm-list-redesign@2x-300x357.webp, bcm-list-redesign@2x-200x238.webp, bcm-list-redesign@2x-100x119.webp, bcm-list-redesign@2x.webp, austinoralsurgery-list-redesign@2x-400x476.png, austinoralsurgery-list-redesign@2x-252x300.png, austinoralsurgery-list-redesign@2x-860x1024.png, austinoralsurgery-list-redesign@2x-768x914.png, austinoralsurgery-list-redesign@2x-76x90.png, austinoralsurgery-list-redesign@2x-90x107.png, austinoralsurgery-list-redesign@2x-1000x1190.png, austinoralsurgery-list-redesign@2x-900x1071.png, austinoralsurgery-list-redesign@2x-800x952.png, austinoralsurgery-list-redesign@2x-700x833.png, austinoralsurgery-list-redesign@2x-600x714.png, austinoralsurgery-list-redesign@2x-500x595.png, austinoralsurgery-list-redesign@2x-300x357.png, austinoralsurgery-list-redesign@2x-200x238.png, austinoralsurgery-list-redesign@2x-100x119.png, austinoralsurgery-list-redesign@2x.png, noted-list-redesign-alt@2x-400x476.webp, noted-list-redesign-alt@2x-252x300.webp, noted-list-redesign-alt@2x-860x1024.webp, noted-list-redesign-alt@2x-768x914.webp, noted-list-redesign-alt@2x-76x90.webp, noted-list-redesign-alt@2x-90x107.webp, noted-list-redesign-alt@2x-1000x1190.webp, noted-list-redesign-alt@2x-900x1071.webp, noted-list-redesign-alt@2x-800x952.webp, noted-list-redesign-alt@2x-700x833.webp, noted-list-redesign-alt@2x-600x714.webp, noted-list-redesign-alt@2x-500x595.webp, noted-list-redesign-alt@2x-300x357.webp, noted-list-redesign-alt@2x-200x238.webp, noted-list-redesign-alt@2x-100x119.webp, noted-list-redesign-alt@2x.webp, AHS_List@2x-400x296.webp, AHS_List@2x-300x222.webp, AHS_List@2x-90x67.webp, AHS_List@2x-122x90.webp, AHS_List@2x-500x370.webp, AHS_List@2x-200x148.webp, AHS_List@2x-100x74.webp, AHS_List@2x.webp, eoaustin-list@2x-1-400x257.webp, eoaustin-list@2x-1-300x193.webp, eoaustin-list@2x-1-1024x658.webp, eoaustin-list@2x-1-768x494.webp, eoaustin-list@2x-1-90x58.webp, eoaustin-list@2x-1-140x90.webp, eoaustin-list@2x-1-1000x643.webp, eoaustin-list@2x-1-900x579.webp, eoaustin-list@2x-1-800x514.webp, eoaustin-list@2x-1-700x450.webp, eoaustin-list@2x-1-600x386.webp, eoaustin-list@2x-1-500x321.webp, eoaustin-list@2x-1-200x129.webp, eoaustin-list@2x-1-100x64.webp, eoaustin-list@2x-1.webp"
,Hack Reactor,Software training institute,https://www.hackreactor.com/,+1 720-615-0225,34,4.8,ReviewStars-blue-Almost5@2x.png
,HOFT Game Design and Development Lab,Educational institution,,+1 512-472-6666,1,5,
,HQSoftware,Software company,https://hqsoftwarelab.com/,+1 9177203806,0,0,
,iCode School - Austin Campus,Education center,https://icodeschool.com/austin113/,+1 512-764-1350,20,4.6,austin113@icodeschool.com
,INK Games,Corporate office,https://www.inkgames.com/,,2,5,"support@inkgames.com, investor@inkgames.com"
,Intwish,Software company,http://www.intwish.com/,0334 3375919,info@intwish.com,,
,iQlance Solutions - App Developers New York,Software company,https://www.iqlance.com/new-york-mobile-app-developers/,+1 9174778991,4,5,info@iqlance.com
,Jay Mehta Digital,Business management consultant,http://www.jaymehta.co/,+1 512-621-8822,24,5,
,Juego Studios - Game Development Company,Software company,https://www.juegostudio.com/,+91 81471 51122,"info@juegostudio.com, info.usa@juegostudio.com, info.uk@juegostudio.com",,
,Juego Studios NJ - Game Development Company,Software company,https://www.juegostudio.com/?utm_source=GooglePlaces&utm_medium=Maps&utm_campaign=GooglePlaces_US_NJ,+1 9402185249,"info@juegostudio.com, info.usa@juegostudio.com, info.uk@juegostudio.com",,
,Kakao Games USA Inc.,Software company,http://www.kakaogames-us.com/,+1 6503538180,,,
,Lightside Games,Corporate office,http://lightsidegames.com/,+1 843-217-3543,0,0,
,Longtail Studios,Software company,,+1 6464438000,3,2.7,
,Lumenbrite - Adobe Digital Design Training,Computer training school,https://lumenbrite.com/locations/austin/,+1 512-294-2184,84,5,
,Magic Playbox XR Studio,Software company,https://magicplaybox.us/,+1 2019896113,0,0,serge@magicplaybox.us
,Meta 3D Studios,Software company,http://www.meta3dstudios.com/,+1 512-380-9373,2,5,
,MindGeek Labs,Software company,,+1 6468444504,0,0,
,MMC Global LLC - Software Development Company,Software company,https://mmcgbl.com/,+1 512-610-5899,1,5,flags@2x.png
,Mobile App Development Company Austin - TekRevol,Software company,https://www.tekrevol.com/app-development-austin?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-austin&utm_id=gmb-austin,+1 737-386-9583,5,5,info@tekrevol.com
,Mobile Developer Austin,Software company,https://www.mobiledeveloperaustin.com/,+1 339-298-7163,0,0,sales@mobiledeveloperaustin.com
,Modern Chess,Software company,http://www.modernchess.com/,,12,5,info@modernchess.org
,N0va Virtual Reality,Software company,http://novamedia.nyc/,,15,5,
,Ninjafish Studios LLC,Software company,,+1 2105647123,0,0,
,noformat,Design agency,http://noformat.com/,+1 2126349104,2,5,
,Ollie Marketing - Austin Digital Marketing,Marketing agency,https://olliemarketing.com/,+1 860-422-3940,36,5,"JAMIE@OLLIEMARKETING.COM, jamie@olliemarketing.com"
,Panic Button,Software company,http://www.panicbuttongames.com/,,8,4,
,Parrot Digital,Website designer,https://parrotdm.com/,+1 512-222-8359,47,5,
,Phaser Lock Interactive,Software company,http://www.phaserlock.com/,+1 512-800-0005,4,4.5,info@phaserlock.com
,Pixeldust Studios NY,Animation studio,http://www.pixeldust.tv/,+1 3016560050,1,5,
,Playable Design LLC,Software company,https://playable.design/,,0,0,
,Playmada Games,Software company,,+1 8442222320,0,0,
,Quytech - Mobile App Development Company,Software company,https://www.quytech.com/,+1 9099540408,1,5,
,Real Grow. AI,Marketing agency,https://realgrow.ai/,+1 512-886-5854,25,5,
,Real Synch,Software company,http://realsynch.com/,+1 424-207-1383,59,5,
,Replay Games,Software company,,+1 512-244-1717,1,3,
,Retro Studios,Software company,https://www.retrostudios.com/,+1 512-493-4600,28,5,
,RG Agency,Marketing agency,https://rgagencyusa.com/,+1 323-428-8922,32,5,contact@rgagencyusa.com
,RIKSOF,Software company,http://www.riksof.com/,021 35292676,,,
,Riseup Labs,Software company,https://riseuplabs.com/,+1 9173382503,0,0,
,Rockstar Games,Corporate office,http://www.rockstargames.com/,+1 2123346633,1786,4.3,
,Skilled Game Development,Software company,,+1 8777438729,,,
,Skull Fire Games LLC.,Software company,,+1 3476889436,0,0,
,"Snipe SEO - SEO & Web Design Austin, TX",Internet marketing service,https://snipeseo.com/,+1 737-427-7367,18,5,info@snipeseo.com
,Softelab,Software company,https://softelab.com/,+1 8008268018,1,5,abc@example.com
,Spacetime Studios,Software company,http://www.spacetimestudios.com/,,9,1.9,
,Sputnik ATX VC,Business development service,http://www.sputnikatx.com/,,26,4.8,info@sputnikatx.com
,Stepico,Software company,https://stepico.com/,+1 6467223302,0,0,
,Subpar Software,Software company,http://www.subparsoftware.com/,+1 830-385-2995,0,0,
,Subvrsive,Advertising agency,http://subvrsive.com/,+1 512-596-5534,7,5,hello@subvrsive.com
,Suto Games - Game Development Company,Software company,https://sutogames.com/,+1 4379284432,contact@sutogames.com,,
,TekRevol New York | Mobile App & Software Development Company NYC,Software company,https://www.tekrevol.com/lp1/app-development-agency-new-york?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-nyc&utm_id=gmb-nyc,+1 6462051625,7,4.4,"golden@2x.png, silverr@2x.png, dot-com-pl@2x.png, experties2022@2x.png, top-entertainment-developer@2x.png, timmy-award@2x.png, houston@2x.png, fast_company@2x.png, gold-winner@2x.png, silver-winner@2x.png, top-b2b@2x.png, top-developer-2021@2x.png, experties@2x.png, goodfirms@2x.png, clutch@2x.png, softwareworld@2x.png, adobe-solution@2x.png, app-futura@2x.png, best-digital-agency@2x.png, itfirms@2x.png, clutch-react@2x.png, top-developer@2x.png"
,Trango Tech New York - Mobile App development Company,Software company,https://trangotech.com/mobile/app-development-new-york-city/?utm_source=GMB&utm_medium=GMB+NYC&utm_campaign=GMB+NYC,+1 8334422711,9,5,abc@example.com
,TruPlay Games,Software company,https://www.truplaygames.com/,,6,4.3,
,Twisted Pixel Games,Software company,http://www.twistedpixelgames.com/,+1 512-707-1601,7,3.9,
,Unity Technologies,Software company,https://unity.com/,,8,4.5,
,UP ON GAME MEDIA INC,Marketing agency,,+1 512-648-6870,0,0,
,Vanguard X,Software company,https://vanguard-x.com/,+1 4154813295,2,5,
,Videogamesnewyork,Video game store,https://videogamesnewyork.com/,+1 2125391039,1381,4.5,
,Virtual Lab,Software company,http://virtualabvr.com/,+1 3322495824,5,5,
,"VoxPop Games, Inc.",Software company,https://www.voxpopgames.com/,+1 8585395845,42,5,
,WildCard Games,Software company,http://wildcardmobile.com/,+1 8009525210,,,
,Wordpress Developer Austin,Website designer,https://wordpressdeveloperaustin.com/,+1 512-256-3832,2,5,
,"Zom.bio, Inc.",Software company,http://zom.bio/,+1 512-736-3814,0,0,
